제목,저자,게시 날짜,출처,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,저널,도서,발명자,특허청,특허 번호,출원번호,기관
"Current status of management, control, complications and psychosocial aspects of patients with diabetes in India: Results from the DiabCare India 2011 Study","Viswanathan Mohan, Siddharth N Shah, Shashank R Joshi, V Seshiah, Binode Kumar Sahay, Samar Banerjee, Subhash Kumar Wangnoo, Ajay Kumar, Sanjay Kalra, AG Unnikrishnan, Surendra Kumar Sharma, PV Rao, Shahid Akhtar, Raman V Shetty, Ashok Kumar Das, DiabCare India 2011 Study Group",2014/5,,18,3,370,Wolters Kluwer--Medknow Publications,"Objectives:
DiabCare India 2011 was a cross-sectional study in patients with diabetes mellitus, undertaken to investigate the relationship between diabetes control, management and complications in a subset of urban Indian diabetes patients treated at referral diabetes care centres in India.
Materials and Methods:
This was a cross-sectional, multicentre (330 centres) survey in 6168 diabetes patients treated at general hospitals, diabetes clinics and referral clinics across India. Patient data, including medical and clinical examination reports during the past year were collected during their routine visit. The patients’ and physicians’ perceptions about diabetes management were recorded using a questionnaire.
Results:
A total of 6168 subjects with diabetes (95.8% type 2), mean age 51.9±12.4 years and mean duration of diabetes, 6.9±6.4 years were included. Mean HbA1c was 8.9±2.1% and the mean fasting (FPG), post …",99회,"Current status of management, control, complications and psychosocial aspects of patients with diabetes in India: Results from the DiabCare India 2011 Study
V Mohan, SN Shah, SR Joshi, V Seshiah, BK Sahay… - Indian journal of endocrinology and metabolism, 2014
99회 인용 관련 학술자료 전체 10개의 버전",,Indian journal of endocrinology and metabolism,,,,,,
Device service provider interface,,2010/4/20,,,,,,"The subject invention provides a system and/or a method that facilitates interacting with a device component to provide uniform communication, discovery, and management. A device service provider interface (DSPI) component can provide a uniform manner to communicate and/or manage a radio frequency identification (RFID) device. The DSPI component can include a receiver component that receives one or more RFID server data and RFID device data. The DSPI component can define an interface that facilitates communication of the one or more of RFID server data and RFID device data between an RFID device and an RFID server in a uniform manner. The interface (s) can be defined to handle discovery, configuration, communication, and connection management.",99회,"Device service provider interface
A Kumar, MF Ahmed, JR Goteti, VGR Reddy… - US Patent 7,701,341, 2010
99회 인용 관련 학술자료 전체 4개의 버전",,,,"Anush Kumar, Mohamed Fakrudeen Ahmed, Janaki Ram Goteti, Vamshidhar GR Reddy, Vinod Anantharaman, Balasubramanian Sriram, Abhishek Agarwal",US,7701341,11061337,
Location-aware application searching,,2014/4/1,,,,,,"Computer-readable media, computer systems, and computing methods are provided for implicitly discovering applications that have a corresponding location. Initially, an application manifest is constructed that maintains a mapping between apps and their respective geographic boundaries. In operation, upon detecting a location signal being transmitted from a mobile device, the location signal is employed to identify a set of valid applications. Generally, the location signal represents location-based information entered to or received from the mobile device. Identifying the set of valid applications involves comparing the location signal against the application manifest and, based on the comparison, designating those apps that are mapped to geographic boundaries that meet the location signal as the set of valid applications. Upon identifying the set of valid applications, a selection of apps included within the set of …",97회,"Location-aware application searching
M Mahajan, A Kumar - US Patent 8,688,726, 2014
97회 인용 관련 학술자료 전체 4개의 버전",,,,"Milind Mahajan, Amit Kumar",US,8688726,13398342,
"One world, one health-veterinary perspectives","Kuldeep Dhama, Sandip Chakraborty, Sanjay Kapoor, Ruchi Tiwari, Amit Kumar, Rajib Deb, S Rajagunalan, Rajendra Singh, Kranti Vora, S Natesan",2013,,1,1,5-13,,"One Health requires multidisciplinary efforts at global, national and local levels, for the sake of our planet, mankind and animals. It was initiated at the American Veterinary Medical Association (AVMA) Annual Convention (2007) as launched by the American Medical Association along with AVMA and the Centers for Disease Control and Prevention (CDC). One health concept is governed by a great deal of interest as well as resources. To a certain level it is due to the greater popularity attained by the term population health. Successes up to a certain extent to provide understanding of socioeconomic gradients in health status at depth even though achieved, it has not yet led to sufficient development of corresponding policies that can effectively reduce the inequalities in health (Glouberman and
Millar, 2003; Tsui et al., 2010). Recent decades of modernization and industrialization, along with adoption of policies like liberalization and globalization, the characteristics of human demographics have been affected considerably (Nolen and Kahler, 2007). Increase in international trade and travel, global climate change, habitat destruction, ecotourism, changes in ecosystem and biodiversity have resulted in exposure of humans as well as animals to new pathogens to which they were never exposed, requiring proper veterinary attention (Morse, 1995; Taylor et al., 2001; Patz et al., 2005; Rogers and Randolph, 2006; Myers and Patz, 2009; Osburn et al., 2009; Pawaiya et al., 2009; Bloom, 2011; Dhama et al., 2012a; Mahima et al., 2012; Dhama et al., 2013a). Besides the preceding situations, certain other circumstances like civil unrest, political instability …",97회,"One world, one health-veterinary perspectives
K Dhama, S Chakraborty, S Kapoor, R Tiwari, A Kumar… - Adv Anim Vet Sci, 2013
97회 인용 관련 학술자료 전체 7개의 버전",,Adv Anim Vet Sci,,,,,,
Efficient removal of toxic phosphate anions from aqueous environment using pectin based quaternary amino anion exchanger,"Mu Naushad, Gaurav Sharma, Amit Kumar, Shweta Sharma, Ayman A Ghfar, Amit Bhatnagar, Florian J Stadler, Mohammad R Khan",2018/1/1,,106,,1-10,Elsevier,"Pectin based quaternary amino anion exchanger (Pc-QAE) was prepared using simple crosslinking polymerization method. This anion exchanger was characterized by X-ray diffraction (XRD), scanning electron microscopy (SEM) and Fourier transform infrared spectroscopy (FTIR). Pc-QAE was applied for the removal of phosphate anion from the aqueous solution. The adsorption process which was pH dependent showed maximum adsorption of phosphate anions at pH 7. Pc-QAE showed good monolayer adsorption capacity for phosphate anions which demonstrated its good capability towards Langmuir isotherm model. Moreover, the adsorption was evaluated thermodynamically and the negative value of Gibbs free energy (−1.791 KJ/mol) revealed the spontaneity of adsorption process. The value of ΔH° and ΔS° were found to be 15.28 and 49.48 KJ/mol, respectively representing the endothermic nature and …",96회,"Efficient removal of toxic phosphate anions from aqueous environment using pectin based quaternary amino anion exchanger
M Naushad, G Sharma, A Kumar, S Sharma, AA Ghfar… - International journal of biological macromolecules, 2018
96회 인용 관련 학술자료 전체 7개의 버전",,International journal of biological macromolecules,,,,,,
"Suppression of ϒ (1S), ϒ (2S), and ϒ (3S) quarkonium states in PbPb collisions at sNN= 2.76 TeV","Vardan Khachatryan, Albert M Sirunyan, Armen Tumasyan, Wolfgang Adam, E Asilar, Thomas Bergauer, Johannes Brandstetter, Erica Brondolin, Marko Dragicevic, Janos Erö, Martin Flechl, Markus Friedl, Rudolf Fruehwirth, Vasile Mihai Ghete, Christian Hartl, Natascha Hörmann, Josef Hrubec, Manfred Jeitler, Axel König, Ilse Krätschmer, Dietrich Liko, Takashi Matsushita, Ivan Mikulec, Dinyar Rabady, Navid Rad, Babak Rahbaran, Herbert Rohringer, Jochen Schieck, Josef Strauss, Wolfgang Waltenberger, C-E Wulz, Oleg Dvornikov, Vladimir Makarenko, Vladimir Zykunov, Vladimir Mossolov, Nikolai Shumeiko, J Suarez Gonzalez, Sara Alderweireldt, Eddi A De Wolf, Xavier Janssen, Jasper Lauwers, Merijn Van De Klundert, Hans Van Haevermaet, Pierre Van Mechelen, Nick Van Remortel, Alex Van Spilbeeck, S Abu Zeid, Freya Blekman, Jorgen D'Hondt, Nadir Daci, Isabelle De Bruyn, Kevin Deroover, Steven Lowette, Seth Moortgat, Lieselotte Moreels, Annik Olbrechts, Quentin Python, Stefaan Tavernier, Walter Van Doninck, Petra Van Mulders, Isis Van Parijs, Hugues Brun, Barbara Clerbaux, Gilles De Lentdecker, Hugo Delannoy, Giuseppe Fasanella, Laurent Favart, Reza Goldouzian, Anastasia Grebenyuk, Georgia Karapostoli, Thomas Lenzi, Alexandre Léonard, Jelena Luetic, Thierry Maerschalk, Andrey Marinov, Aidan Randle-conde, Tomislav Seva, C Vander Velde, P Vanlaer, D Vannerom, R Yonamine, F Zenoni, F Zhang, A Cimmino, T Cornelis, D Dobur, A Fagot, G Garcia, M Gul, I Khvastunov, D Poyraz, S Salva, R Schöfbeck, A Sharma, M Tytgat, W Van Driessche, E Yazgan, N Zaganidis, H Bakhshiansohi, C Beluffi, O Bondu, S Brochet, G Bruno, A Caudron, S De Visscher, C Delaere, M Delcourt, B Francois, A Giammanco, A Jafari, P Jez, M Komm, G Krintiras, V Lemaitre, A Magitteri, A Mertens, M Musich, C Nuttens, K Piotrzkowski, L Quertenmont, M Selvaggi, M Vidal Marono, S Wertz, N Beliy, WL Aldá Júnior, FL Alves, GA Alves, L Brito, C Hensel, A Moraes, ME Pol, P Rebello Teles, E Belchior Batista Das Chagas, W Carvalho, J Chinellato, A Custódio, EM Da Costa, GG Da Silveira, D De Jesus Damiao, C De Oliveira Martins, S Fonseca De Souza, LM Huertas Guativa, H Malbouisson, D Matos Figueiredo, C Mora Herrera, L Mundim, H Nogima, WL Prado Da Silva, A Santoro, A Sznajder",2017/7/10,,770,,357-379,North-Holland,"The production yields of ϒ (1S), ϒ (2S), and ϒ (3S) quarkonium states are measured through their decays into muon pairs in the CMS detector, in PbPb and pp collisions at the centre-of-mass energy per nucleon pair of 2.76 TeV. The data correspond to integrated luminosities of 166 μb− 1 and 5.4 pb− 1 for PbPb and pp collisions, respectively. Differential production cross sections are reported as functions of ϒ rapidity y up to 2.4, and transverse momentum p T up to 20 GeV/c. A strong centrality-dependent suppression is observed in PbPb relative to pp collisions, by factors of up to≈ 2 and 8, for the ϒ (1S) and ϒ (2S) states, respectively. No significant dependence of this suppression is observed as a function of y or p T. The ϒ (3S) state is not observed in PbPb collisions, which corresponds to a suppression for the centrality-integrated data by at least a factor of≈ 7 at a 95% confidence level. The observed …",96회,"Suppression of ϒ (1S), ϒ (2S), and ϒ (3S) quarkonium states in PbPb collisions at sNN= 2.76 TeV
V Khachatryan, AM Sirunyan, A Tumasyan, W Adam… - Physics Letters B, 2017
93회 인용 관련 학술자료 전체 24개의 버전
Suppression of ypsilon (1S), ypsilon (2S), and ypsilon (3S) quarkonium states in PbPb collisions at root S-NN= 2.76 TeV*
V Khachatryan, P Eerola, J Pekkanen, M Voutilainen… - Physics Letters B, 2017
5회 인용 관련 학술자료 전체 4개의 버전
Suppression of ϒ (1S), ϒ (2S), and ϒ (3S) quarkonium states in PbPb collisions atsNN= 2.76 TeV
V Khachatryan - Physics Letters B, 2017",,Physics Letters B,,,,,,
An end-to-end system for unconstrained face verification with deep convolutional neural networks,"Jun-Cheng Chen, Rajeev Ranjan, Amit Kumar, Ching-Hui Chen, Vishal M Patel, Rama Chellappa",2015,,,,118-126,,"In this paper, we present an end-to-end system for the unconstrained face verification problem based on deep convolutional neural networks (DCNN). The end-to-end system consists of three modules for face detection, alignment and verification and is evaluated using the newly released IARPA Janus Benchmark A (IJB-A) dataset and its extended version Janus Challenging set 2 (JANUS CS2) dataset. The IJB-A and CS2 datasets include real-world unconstrained faces of 500 subjects with significant pose and illumination variations which are much harder than the Labeled Faces in the Wild (LFW) and Youtube Face (YTF) datasets. Results of experimental evaluations for the proposed system on the IJB-A dataset are provided.",96회,"An end-to-end system for unconstrained face verification with deep convolutional neural networks
JC Chen, R Ranjan, A Kumar, CH Chen, VM Patel… - Proceedings of the IEEE international conference on …, 2015
96회 인용 관련 학술자료 전체 12개의 버전",Proceedings of the IEEE international conference on computer vision workshops,,,,,,,
A low-noise solid-state nanopore platform based on a highly insulating substrate,"Min-Hyun Lee, Ashvani Kumar, Kyeong-Beom Park, Seong-Yong Cho, Hyun-Mi Kim, Min-Cheol Lim, Young-Rok Kim, Ki-Bum Kim",2014/12/12,,4,1,1-7,Nature Publishing Group,"A solid-state nanopore platform with a low noise level and sufficient sensitivity to discriminate single-strand DNA (ssDNA) homopolymers of poly-A 40 and poly-T 40 using ionic current blockade sensing is proposed and demonstrated. The key features of this platform are (a) highly insulating dielectric substrates that are used to mitigate the effect of parasitic capacitance elements, which decrease the ionic current RMS noise level to sub-10 pA and (b) ultra-thin silicon nitride membranes with a physical thickness of 5 nm (an effective thickness of 2.4 nm estimated from the ionic current) are used to maximize the signal-to-noise ratio and the spatial depth resolution. The utilization of an ultra-thin membrane and a nanopore diameter as small as 1.5 nm allow the successful discrimination of 40 nucleotide ssDNA poly-A 40 and poly-T 40. Overall, we demonstrate that this platform overcomes several critical limitations of solid …",96회,"A low-noise solid-state nanopore platform based on a highly insulating substrate
MH Lee, A Kumar, KB Park, SY Cho, HM Kim, MC Lim… - Scientific reports, 2014
96회 인용 관련 학술자료 전체 9개의 버전",,Scientific reports,,,,,,
Association of B12 deficiency and clinical neuropathy with metformin use in type 2 diabetes patients,"AK Singh, A Kumar, D Karmakar, RK Jha",2013/10/1,,59,4,253,Medknow Publications,"Context:
Long-term metformin use has been hypothesized to cause B12 deficiency and neuropathy in Type 2 diabetes patients. However, there is a paucity of Indian data regarding the same.
Aim:
To compare the prevalence of B12 deficiency and peripheral neuropathy in patients with Type 2 diabetes mellitus treated with or without metformin.
Materials and Methods:
We recruited patients with Type 2 diabetes and divided them into metformin exposed and nonmetformin exposed groups. We measured baseline demographic variables like age, sex, vegetarian status, and HbA1c levels in both groups. We compared vitamin B12 levels and severity of peripheral neuropathy (using Toronto Clinical Scoring System (TCSS)) in both groups. Definite B12 deficiency was defined as B12< 150 pg/ml and possible B12 deficiency as< 220 pg/ml. The difference in vitamin B12 levels and TCSS was calculated in both groups using …",96회,"Association of B12 deficiency and clinical neuropathy with metformin use in type 2 diabetes patients
AK Singh, A Kumar, D Karmakar, RK Jha - Journal of Postgraduate Medicine, 2013
96회 인용 관련 학술자료 전체 8개의 버전",,Journal of Postgraduate Medicine,,,,,,
"Oxovanadium (IV) based coordination polymers and their catalytic potentials for the oxidation of styrene, cyclohexene and trans-stilbene","Mannar R Maurya, Amit Kumar",2006/5/2,,250,1-2,190-198,Elsevier,"Reaction between 5,5′-methylenebis(salicylaldehyde) or 5,5′-dithiobis(salicylaldehyde) and 1,2-diaminocyclohexane in equimolar ratio leads to the formation of new polymeric chelating ligands [–CH2(H2sal-dach)–]n (I) and [–S2(H2sal-dach)2–]n (II). These ligands react with [VO(acac)2] in DMF to give coordination polymers [–CH2{VO(sal-dach)·DMF}–]n (1) and [–S2{VO(sal-dach)·DMF}–]n (2). Both complexes are insoluble in common solvents and exhibit a magnetic moment value of 1.74 and 1.78μB, respectively. IR spectral studies confirm the coordination of ligands through the azomethine nitrogen and the phenolic oxygen atoms to the vanadium. These complexes exhibit good catalytic activity towards the oxidation of styrene, cyclohexene and trans-stilbene using tert-butylhydroperoxide as an oxidant. Concentration of the oxidant and reaction temperature has been optimised for the maximum oxidation of …",95회,"Oxovanadium (IV) based coordination polymers and their catalytic potentials for the oxidation of styrene, cyclohexene and trans-stilbene
MR Maurya, A Kumar - Journal of Molecular Catalysis A: Chemical, 2006
95회 인용 관련 학술자료 전체 7개의 버전",,Journal of Molecular Catalysis A: Chemical,,,,,,
Direct synthesis of amides by dehydrogenative coupling of amines with either alcohols or esters: manganese pincer complex as catalyst,"Amit Kumar, Noel Angel Espinosa‐Jalapa, Gregory Leitus, Yael Diskin‐Posner, Liat Avram, David Milstein",2017/11/20,,56,47,14992-14996,,"The first example of base‐metal‐catalysed synthesis of amides from the coupling of primary amines with either alcohols or esters is reported. The reactions are catalysed by a new manganese pincer complex and generate hydrogen gas as the sole byproduct, thus making the overall process atom‐economical and sustainable.",94회,"Direct synthesis of amides by dehydrogenative coupling of amines with either alcohols or esters: manganese pincer complex as catalyst
A Kumar, NA Espinosa‐Jalapa, G Leitus… - Angewandte Chemie International Edition, 2017
94회 인용 관련 학술자료 전체 7개의 버전",,Angewandte Chemie International Edition,,,,,,
Perspective in antimalarial chemotherapy,"Arun Kumar, S Katiyar, Anu Agarwal, PMS Chauhan",2003/7/1,Current medicinal chemistry,10,13,1137-1150,Bentham Science Publishers,"Antimalarial chemotherapy has become more complex and challenging because of multidrug resistant strains of Plasmodium falciparum. Due to resistance of malarial parasite against well known drugs, the chemotherapy of malaria has become complicated. In this review we have discussed brief introduction followed by life cycle of malaria parasite. The list of commercially available antimalarial drugs along with there action on different stages of parasite have been discussed. A brief description of their mechanism of action and advantages and disadvantages were reported. The natural products as antimalarial have been discussed in the review. On the basis of chemical classes the natural products were divided in the following categories; Quinoline alkaloids, Iso-quinoline alkaloids, Indoloquinoline alkaloids, Carbolines, Bisisoquinoline, 4-Quinazole derivatives, Trioxanes, Terpenes, Naphthoquinone …",94회,"Perspective in antimalarial chemotherapy
A Kumar, S Katiyar, A Agarwal, PMS Chauhan - Current medicinal chemistry, 2003
94회 인용 관련 학술자료 전체 6개의 버전",,,,,,,,
A review of emerging adsorbents and current demand for defluoridation of water: bright future in water sustainability,"Krishna Kumar Yadav, Neha Gupta, Vinit Kumar, Shakeel Ahmad Khan, Amit Kumar",2018/2/1,Environment international,111,,80-108,Pergamon,"Fluoride contamination of groundwater is a serious problem in several countries of the world because of the intake of excessive fluoride caused by the drinking of the contaminated groundwater. Geological and anthropogenic factors are responsible for the contamination of groundwater with fluoride. Excess amounts of fluoride in potable water may cause irreversible demineralisation of bone and tooth tissues, a condition called fluorosis, and long-term damage to the brain, liver, thyroid, and kidney. There has long been a need for fluoride removal from potable water to make it safe for human use. From among several defluoridation technologies, adsorption is the technology most commonly used due to its cost-effectiveness, ease of operation, and simple physical process. In this paper, the adsorption capacities and fluoride removal efficiencies of different types of adsorbents are compiled from relevant published data …",93회,"A review of emerging adsorbents and current demand for defluoridation of water: bright future in water sustainability
KK Yadav, N Gupta, V Kumar, SA Khan, A Kumar - Environment international, 2018
93회 인용 관련 학술자료 전체 9개의 버전",,,,,,,,
Thermally recyclable polylactic acid/cellulose nanocrystal films through reactive extrusion process,"Prodyut Dhar, Debashis Tarafder, Amit Kumar, Vimal Katiyar",2016/3/22,,87,,268-282,Elsevier,"This paper reports a single step reactive extrusion process for fabrication of thermally stable, polylactic acid grafted cellulose nanocrystal(PLA-g-CNC) nanocomposite films using dicumyl peroxide as crosslinking agent. PLA-g-CNC nanocomposites were recycled without significant breakage in the molecular structure of PLA. The grafted PLA chains shields the sulfate and hydroxyl groups of CNCs, thereby enhancing the compatibilization with PLA matrix and preventing thermal degradation during extrusion. NMR and FTIR spectroscopy studies showed that amorphous PLA chains grafted on CNC surface through C–C bonds formation. Presence of such chemical crosslinks led to efficient transfer of modulus of CNCs to PLA matrix, thereby improving the tensile strength and young's modulus by∼40% and∼490%,respectively. Recycling of PLA-g-CNC doesn't alter the molecular weight, thermal, crystallization and …",93회,"Thermally recyclable polylactic acid/cellulose nanocrystal films through reactive extrusion process
P Dhar, D Tarafder, A Kumar, V Katiyar - Polymer, 2016
93회 인용 관련 학술자료 전체 4개의 버전",,Polymer,,,,,,
Rule-based filtering and alerting,,2012/7/10,,,,,,"The claimed subject matter provides a system and/or a method that facilitates utilizing rule-based technology with radio frequency identification (RFID) network. An interface can receive real-time RFID data from a process comprising at least one device collection in the RFID network, wherein a rules engine (RE) component can employ a declarative event policy associated with the RFID network as rules. The RE allows dynamic updates of business logic associated with applications in real-time without the re-start and/or stop the applications. The system and/or method further comprises a vocabulary component that provides terms that defines at least one of the rule, rule condition, and action based at least in part upon an industry specific nomenclature.",93회,"Rule-based filtering and alerting
A Kumar, MFA Ahmed, B Sriram, JR Goteti… - US Patent 8,217,756, 2012
93회 인용 관련 학술자료 전체 4개의 버전",,,,"Anush Kumar, Mohamed Fakrudeen Ali Ahmed, Balasubramanian Sriram, Janaki Ram Goteti, Ramachandran Venkatesh",US,8217756,11192877,
"Vanadium complexes having [VIVO] 2+ and [VVO 2]+ cores with binucleating dibasic tetradentate ligands: Synthesis, characterization, catalytic and antiamoebic activities","Mannar R Maurya, Aftab Alam Khan, Amir Azam, Samir Ranjan, Neelima Mondal, Amit Kumar, Fernando Avecilla, João Costa Pessoa",2010,Dalton Transactions,39,5,1345-1360,Royal Society of Chemistry,"Binucleating hydrazones CH2(H2sal-bhz)2 (I) and CH2(H2sal-fah)2 (II), derived from 5,5′-methylbis(salicylaldehyde) and benzoylhydrazide or 2-furoylhydrazide, react with [VIVO(acac)2] to give dinuclear VIVO-complexes [CH2{VIVO(sal-bhz)(H2O)}2] 1 and [CH2{VIVO(sal-fah)(H2O)}2] 4, respectively. In the presence of KOH or CsOH·H2O, oxidation of 1 and 2 results in the formation of dioxidovanadium(V) complexes, K2[CH2{VVO2(sal-bhz)}2]·2H2O 2, K2[CH2{VVO2(sal-fah)}2]·2H2O 5, Cs2[CH2{VVO2(sal-bhz)}2]·2H2O 3 and Cs2[CH2{VVO2(sal-fah)}2]·2H2O 6. These complexes have also been prepared by aerial oxidation of in situ prepared oxidovanadium(IV) complexes 1 and 4. The compounds were characterized by IR, electronic, EPR, 1H, 13C and 51V NMR spectroscopy, elemental analyses and thermogravimetric patterns. Single crystal X-ray analysis of 3 confirms the coordination of the ligand in the …",93회,"Vanadium complexes having [VIVO] 2+ and [VVO 2]+ cores with binucleating dibasic tetradentate ligands: Synthesis, characterization, catalytic and antiamoebic activities
MR Maurya, AA Khan, A Azam, S Ranjan, N Mondal… - Dalton Transactions, 2010
93회 인용 관련 학술자료 전체 3개의 버전",,,,,,,,
Reader application markup language schema,,2007/4/17,,,,,,"The subject invention provides a system and/or method that facilitates executing a Radio Frequency Identification (RFID) process by employing a reader application markup language (RAML) schema that provides a portable format to setup and deploy such RFID process. A schema component can receive RFID data relating to an RFID architecture wherein a RAML schema can be created based at least upon such RFID data (eg, discovered readers including settings and/or configurations). The RAML schema can include a sub-system definition (eg, containing the definition of server state and entities in such server) and a process definition (eg, containing process related entities and inter-relationships).",93회,"Reader application markup language schema
A Kumar, MFA Ahmed, JR Goteti - US Patent 7,204,409, 2007
93회 인용 관련 학술자료 전체 4개의 버전",,,,"Anush Kumar, Mohamed Fakrudeen Ali Ahmed, Janaki R Goteti",US,7204409,11025702,
Synthesis of cyclic imides by acceptorless dehydrogenative coupling of diols and amines catalyzed by a manganese pincer complex,"Noel Angel Espinosa-Jalapa, Amit Kumar, Gregory Leitus, Yael Diskin-Posner, David Milstein",2017/8/30,,139,34,11722-11725,American Chemical Society,"The first example of base-metal-catalyzed dehydrogenative coupling of diols and amines to form cyclic imides is reported. The reaction is catalyzed by a pincer complex of the earth abundant manganese and forms hydrogen gas as the sole byproduct, making the overall process atom economical and environmentally benign.",92회,"Synthesis of cyclic imides by acceptorless dehydrogenative coupling of diols and amines catalyzed by a manganese pincer complex
NA Espinosa-Jalapa, A Kumar, G Leitus… - Journal of the American Chemical Society, 2017
92회 인용 관련 학술자료 전체 9개의 버전",,Journal of the American Chemical Society,,,,,,
Measurement of the transverse momentum spectra of weak vector bosons produced in proton-proton collisions at TeV,"Vardan Khachatryan, Albert M Sirunyan, Armen Tumasyan, Wolfgang Adam, E Asilar, Thomas Bergauer, Johannes Brandstetter, Erica Brondolin, Marko Dragicevic, Janos Erö, Martin Flechl, Markus Friedl, Rudolf Fruehwirth, Vasile Mihai Ghete, Christian Hartl, Natascha Hörmann, Josef Hrubec, Manfred Jeitler, Axel König, Manfred Krammer, Ilse Krätschmer, Dietrich Liko, Takashi Matsushita, Ivan Mikulec, Dinyar Rabady, Navid Rad, Babak Rahbaran, Herbert Rohringer, Jochen Schieck, Robert Schöfbeck, Josef Strauss, Wolfgang Treberer-Treberspurg, Wolfgang Waltenberger, C-E Wulz, Vladimir Mossolov, Nikolai Shumeiko, J Suarez Gonzalez, Sara Alderweireldt, Tom Cornelis, Eddi A De Wolf, Xavier Janssen, Albert Knutsson, Jasper Lauwers, Sten Luyckx, Merijn Van De Klundert, Hans Van Haevermaet, Pierre Van Mechelen, Nick Van Remortel, Alex Van Spilbeeck, S Abu Zeid, Freya Blekman, Jorgen D’Hondt, Nadir Daci, Isabelle De Bruyn, Kevin Deroover, Natalie Heracleous, James Keaveney, Steven Lowette, Seth Moortgat, Lieselotte Moreels, Annik Olbrechts, Quentin Python, Derek Strom, Stefaan Tavernier, Walter Van Doninck, Petra Van Mulders, Isis Van Parijs, Hugues Brun, Cécile Caillol, Barbara Clerbaux, Gilles De Lentdecker, Giuseppe Fasanella, Laurent Favart, Reza Goldouzian, Anastasia Grebenyuk, Georgia Karapostoli, Thomas Lenzi, Alexandre Léonard, Thierry Maerschalk, Andrey Marinov, Aidan Randle-conde, Tomislav Seva, C Vander Velde, P Vanlaer, R Yonamine, F Zenoni, F Zhang, Leonardo Benucci, Anna Cimmino, S Crucy, Didar Dobur, Alexis Fagot, Guillaume Garcia, Muhammad Gul, Joseph McCartin, AA Ocampo Rios, D Poyraz, Dirk Ryckbosch, Sinem Salva, Michael Sigamani, Michael Tytgat, Ward Van Driessche, Efe Yazgan, Nikolaos Zaganidis, S Basegmez, C Beluffi, O Bondu, S Brochet, G Bruno, A Caudron, L Ceard, S De Visscher, C Delaere, M Delcourt, D Favart, L Forthomme, A Giammanco, A Jafari, P Jez, M Komm, V Lemaitre, A Mertens, M Musich, C Nuttens, K Piotrzkowski, L Quertenmont, M Selvaggi, M Vidal Marono, N Beliy, GH Hammad, WL Aldá Júnior, FL Alves, GA Alves, L Brito, M Correa Martins Junior, M Hamer, C Hensel, A Moraes, ME Pol, P Rebello Teles, E Belchior Batista Das Chagas, W Carvalho, J Chinellato, A Custodio, EM Da Costa, D De Jesus Damiao, C De Oliveira Martins, S Fonseca De Souza, LM Huertas Guativa, H Malbouisson",2017/2/1,,2017,2,96,Springer Berlin Heidelberg,"The transverse momentum spectra of weak vector bosons are measured in the CMS experiment at the LHC. The measurement uses a sample of proton-proton collisions at TeV, collected during a special low-luminosity running that corresponds to an integrated luminosity of 18. 4±0. 5 pb− 1. The production of W bosons is studied in both electron and muon decay modes, while the production of Z bosons is studied using only the dimuon decay channel. The ratios of W− to W+ and Z to W differential cross sections are also measured. The measured differential cross sections and ratios are compared with theoretical predictions up to next-to-next leading order in QCD.",92회,"Measurement of the transverse momentum spectra of weak vector bosons produced in proton-proton collisions at $$\sqrt {s}= 8$$ TeV
V Khachatryan, AM Sirunyan, A Tumasyan, W Adam… - Journal of High Energy Physics, 2017
92회 인용 관련 학술자료 전체 76개의 버전
Measurement of the transverse momentum spectra of weak vector bosons produced in proton-proton collisions at $\sqrt {s}= 8$ TeV
TK Aarrestad, L Caminada, A De Cosa, R Del Burgo… - Journal of High Energy Physics, 2017
관련 학술자료
Measurement of the transverse momentum spectra of weak vector bosons produced in proton-proton collisions at sqrt (s)= 8 TeV*
S Basegmez, C Beluffi, O Bondu, S Brochet, G Bruno… - Journal of High Energy Physics, 2017",,Journal of High Energy Physics,,,,,,
Polyacrylamide/Ni0.02Zn0.98O Nanocomposite with High Solar Light Photocatalytic Activity and Efficient Adsorption Capacity for Toxic Dye Removal,"Amit Kumar, Gaurav Sharma, Mu Naushad, Pardeep Singh, Susheel Kalia",2014/10/8,,53,40,15549-15560,American Chemical Society,"Photocatalytic removal of toxic textile dyes from wastewater is a challenge because of the relatively low efficiency of photocatalysts. There has been sustained interest in a variety of cheap, hybrid, and efficient nanomaterials for wastewater treatment. In the present work, a novel photocatalyst polyacrylamide/Ni0.02Zn0.98O (PAM/NZP) was synthesized successfully by addition of nanoparticles during polymerization of acrylamide in aqueous medium using ammonium persulfate and N,N′-methylenebis(acrylamide). The material possesses excellent photoactivity and high adsorption capacity.The present investigation describes the applicability of PAM/NZP for removal of malachite green (MG) and rhodamine B (RB) from aqueous solution. The effect of adsorption capacity of cross-linked polyacrylamide on photocatalytic activity of Ni0.02Zn0.98O was also studied. The materials were characterized by Fourier transform …",92회,"Polyacrylamide/Ni0. 02Zn0. 98O nanocomposite with high solar light photocatalytic activity and efficient adsorption capacity for toxic dye removal
A Kumar, G Sharma, M Naushad, P Singh, S Kalia - Industrial & Engineering Chemistry Research, 2014
92회 인용 관련 학술자료 전체 4개의 버전",,Industrial & Engineering Chemistry Research,,,,,,
