제목,저자,게시 날짜,저널,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,도서,출처,기관
Discriminative Transfer Learning with Tree-based Priors.,"Nitish Srivastava, Ruslan Salakhutdinov",2013/6/3,NIPS,3,4,8,,"This paper proposes a way of improving classification performance for classes which have very few training examples. The key idea is to discover classes which are similar and transfer knowledge among them. Our method organizes the classes into a tree hierarchy. The tree structure can be used to impose a prior over classification parameters. We show that these priors can be combined with discriminative models such as deep neural networks. Our method benefits from the power of discriminative training of deep neural networks, at the same time using treebased priors over classification parameters. We also propose an algorithm for learning the underlying tree structure. This gives the model some flexibility to tune the tree so that the tree is pertinent to task being solved. We show that the model can transfer knowledge across related classes using fixed trees. Moreover, it can learn new meaningful trees usually leading to improved performance. Our method achieves state-of-the-art classification results on the CIFAR-100 image dataset and the MIR Flickr multimodal dataset.",224회,"Discriminative Transfer Learning with Tree-based Priors.
N Srivastava, R Salakhutdinov - NIPS, 2013
224회 인용 관련 학술자료 전체 10개의 버전
Supplementary Material for Discriminative Transfer Learning with Tree-based Priors*
N Srivastava, R Salakhutdinov
관련 학술자료 전체 3개의 버전",,,,
Spatially adaptive computation time for residual networks,"Michael Figurnov, Maxwell D Collins, Yukun Zhu, Li Zhang, Jonathan Huang, Dmitry Vetrov, Ruslan Salakhutdinov",2017,,,,1039-1048,,"This paper proposes a deep learning architecture based on Residual Network that dynamically adjusts the number of executed layers for the regions of the image. This architecture is end-to-end trainable, deterministic and problem-agnostic. It is therefore applicable without any modifications to a wide range of computer vision problems such as image classification, object detection and image segmentation. We present experimental results showing that this model improves the computational efficiency of Residual Networks on the challenging ImageNet classification and COCO object detection datasets. Additionally, we evaluate the computation time maps on the visual saliency dataset cat2000 and find that they correlate surprisingly well with human eye fixation positions.",216회,"Spatially adaptive computation time for residual networks
M Figurnov, MD Collins, Y Zhu, L Zhang, J Huang… - Proceedings of the IEEE Conference on Computer …, 2017
216회 인용 관련 학술자료 전체 8개의 버전",Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition,,,
Path-sgd: Path-normalized optimization in deep neural networks,"Behnam Neyshabur, Ruslan Salakhutdinov, Nathan Srebro",2015/6/8,arXiv preprint arXiv:1506.02617,,,,,"We revisit the choice of SGD for training deep neural networks by reconsidering the appropriate geometry in which to optimize the weights. We argue for a geometry invariant to rescaling of weights that does not affect the output of the network, and suggest Path-SGD, which is an approximate steepest descent method with respect to a path-wise regularizer related to max-norm regularization. Path-SGD is easy and efficient to implement and leads to empirical gains over SGD and AdaGrad.",211회,"Path-sgd: Path-normalized optimization in deep neural networks
B Neyshabur, R Salakhutdinov, N Srebro - arXiv preprint arXiv:1506.02617, 2015
211회 인용 관련 학술자료 전체 5개의 버전",,,,
Exploiting image-trained cnn architectures for unconstrained video classification,"Shengxin Zha, Florian Luisier, Walter Andrews, Nitish Srivastava, Ruslan Salakhutdinov",2015/3/13,,,,,,"We conduct an in-depth exploration of different strategies for doing event detection in videos using convolutional neural networks (CNNs) trained for image classification. We study different ways of performing spatial and temporal pooling, feature normalization, choice of CNN layers as well as choice of classifiers. Making judicious choices along these dimensions led to a very significant increase in performance over more naive approaches that have been used till now. We evaluate our approach on the challenging TRECVID MED'14 dataset with two popular CNN architectures pretrained on ImageNet. On this MED'14 dataset, our methods, based entirely on image-trained CNN features, can outperform several state-of-the-art non-CNN models. Our proposed late fusion of CNN-and motion-based features can further increase the mean average precision (mAP) on MED'14 from 34.95% to 38.74%. The fusion approach achieves the state-of-the-art classification performance on the challenging UCF-101 dataset.",211회,"Exploiting image-trained CNN architectures for unconstrained video classification
S Zha, F Luisier, W Andrews, N Srivastava… - arXiv preprint arXiv:1503.04144, 2015
211회 인용 관련 학술자료 전체 7개의 버전",BMVC,,,
One-shot learning by inverting a compositional causal process,"Brenden M Lake, Ruslan Salakhutdinov, Joshua B Tenenbaum",2013,,,,,"Neural Information Processing Systems Foundation, Inc.","People can learn a new visual class from just one example, yet machine learning algorithms typically require hundreds or thousands of examples to tackle the same problems. Here we present a Hierarchical Bayesian model based on compositionality and causality that can learn a wide range of natural (although simple) visual concepts, generalizing in human-like ways from just one image. We evaluated performance on a challenging one-shot classification task, where our model achieved a human-level error rate while substantially outperforming two deep learning models. We also used a visual Turing test ""to show that our model produces human-like performance on other conceptual tasks, including generating new examples and parsing.""",207회,"One-shot learning by inverting a compositional causal process
BM Lake, R Salakhutdinov, JB Tenenbaum - 2013
207회 인용 관련 학술자료 전체 11개의 버전",,,,
The more you know: Using knowledge graphs for image classification,"Kenneth Marino, Ruslan Salakhutdinov, Abhinav Gupta",2016/12/14,arXiv preprint arXiv:1612.04844,,,,,"One characteristic that sets humans apart from modern learning-based computer vision algorithms is the ability to acquire knowledge about the world and use that knowledge to reason about the visual world. Humans can learn about the characteristics of objects and the relationships that occur between them to learn a large variety of visual concepts, often with few examples. This paper investigates the use of structured prior knowledge in the form of knowledge graphs and shows that using this knowledge improves performance on image classification. We build on recent work on end-to-end learning on graphs, introducing the Graph Search Neural Network as a way of efficiently incorporating large knowledge graphs into a vision classification pipeline. We show in a number of experiments that our method outperforms standard neural network baselines for multi-label classification.",203회,"The more you know: Using knowledge graphs for image classification
K Marino, R Salakhutdinov, A Gupta - arXiv preprint arXiv:1612.04844, 2016
203회 인용 관련 학술자료 전체 6개의 버전",,,,
Modeling documents with deep boltzmann machines,"Nitish Srivastava, Ruslan R Salakhutdinov, Geoffrey E Hinton",2013/9/26,,,,,,"We introduce a Deep Boltzmann Machine model suitable for modeling and extracting latent semantic representations from a large unstructured collection of documents. We overcome the apparent difficulty of training a DBM with judicious parameter tying. This parameter tying enables an efficient pretraining algorithm and a state initialization scheme that aids inference. The model can be trained just as efficiently as a standard Restricted Boltzmann Machine. Our experiments show that the model assigns better log probability to unseen data than the Replicated Softmax model. Features extracted from our model outperform LDA, Replicated Softmax, and DocNADE models on document retrieval and document classification tasks.",198회,"Modeling documents with deep boltzmann machines
N Srivastava, RR Salakhutdinov, GE Hinton - arXiv preprint arXiv:1309.6865, 2013
198회 인용 관련 학술자료 전체 23개의 버전",Uncertainty in Artificial Intelligence (UAI),,,
On the quantitative analysis of decoder-based generative models,"Yuhuai Wu, Yuri Burda, Ruslan Salakhutdinov, Roger Grosse",2016/11/14,arXiv preprint arXiv:1611.04273,,,,,"The past several years have seen remarkable progress in generative models which produce convincing samples of images and other modalities. A shared component of many powerful generative models is a decoder network, a parametric deep neural net that defines a generative distribution. Examples include variational autoencoders, generative adversarial networks, and generative moment matching networks. Unfortunately, it can be difficult to quantify the performance of these models because of the intractability of log-likelihood estimation, and inspecting samples can be misleading. We propose to use Annealed Importance Sampling for evaluating log-likelihoods for decoder-based models and validate its accuracy using bidirectional Monte Carlo. The evaluation code is provided at this https URL. Using this technique, we analyze the performance of decoder-based models, the effectiveness of existing log-likelihood estimators, the degree of overfitting, and the degree to which these models miss important modes of the data distribution.",195회,"On the quantitative analysis of decoder-based generative models
Y Wu, Y Burda, R Salakhutdinov, R Grosse - arXiv preprint arXiv:1611.04273, 2016
195회 인용 관련 학술자료 전체 6개의 버전",,,,
Learning representations for multimodal data with deep belief nets,"Nitish Srivastava, Ruslan Salakhutdinov",2012/7,International conference on machine learning workshop,79,,3,,We propose a Deep Belief Network architecture for learning a joint representation of multimodal data. The model defines a probability distribution over the space of multimodal inputs and allows sampling from the conditional distributions over each data modality. This makes it possible for the model to create a multimodal representation even when some data modalities are missing. Our experimental results on bi-modal data consisting of images and text show that the Multimodal DBN can learn a good generative model of the joint space of image and text inputs that is useful for filling in missing data so it can be used both for image annotation and image retrieval. We further demonstrate that using the representation discovered by the Multimodal DBN our model can significantly outperform SVMs and LDA on discriminative tasks.,194회,"Learning representations for multimodal data with deep belief nets
N Srivastava, R Salakhutdinov - International conference on machine learning …, 2012
194회 인용 관련 학술자료 전체 6개의 버전",,,,
Optimization with EM and expectation-conjugate-gradient,"Ruslan Salakhutdinov, Sam Roweis, Zoubin Ghahramani",2003/8/21,,,,672-679,,"We show a close relationship between the Expectation-Maximization (EM) algorithm and direct optimization algorithms such as gradientbased methods for parameter learning. We identify analytic conditions under which EM exhibits Newton-like behavior, and conditions under which it possesses poor, first-order convergence. Based on this analysis, we propose two novel algorithms for maximum likelihood estimation of latent variable models, and report empirical results showing that, as predicted by theory, the proposed new algorithms can substantially outperform standard EM in terms of speed of convergence in certain cases.",190회,"Optimization with EM and expectation-conjugate-gradient
R Salakhutdinov, ST Roweis, Z Ghahramani - Proceedings of the 20th International Conference on …, 2003
190회 인용 관련 학술자료 전체 27개의 버전",International Conference on Machine Learning (ICML),,,
Robust boltzmann machines for recognition and denoising,"Yichuan Tang, Ruslan Salakhutdinov, Geoffrey Hinton",2012/6/16,,,,2264-2271,IEEE,"While Boltzmann Machines have been successful at unsupervised learning and density modeling of images and speech data, they can be very sensitive to noise in the data. In this paper, we introduce a novel model, the Robust Boltzmann Machine (RoBM), which allows Boltzmann Machines to be robust to corruptions. In the domain of visual recognition, the RoBM is able to accurately deal with occlusions and noise by using multiplicative gating to induce a scale mixture of Gaussians over pixels. Image denoising and in-painting correspond to posterior inference in the RoBM. Our model is trained in an unsupervised fashion with unlabeled noisy data and can learn the spatial structure of the occluders. Compared to standard algorithms, the RoBM is significantly better at recognition and denoising on several face databases.",187회,"Robust boltzmann machines for recognition and denoising
Y Tang, R Salakhutdinov, G Hinton - 2012 IEEE conference on computer vision and pattern …, 2012
187회 인용 관련 학술자료 전체 15개의 버전",2012 IEEE conference on computer vision and pattern recognition,,,
Multi-task cross-lingual sequence tagging from scratch,"Zhilin Yang, Ruslan Salakhutdinov, William Cohen",2016/3/20,arXiv preprint arXiv:1603.06270,,,,,"We present a deep hierarchical recurrent neural network for sequence tagging. Given a sequence of words, our model employs deep gated recurrent units on both character and word levels to encode morphology and context information, and applies a conditional random field layer to predict the tags. Our model is task independent, language independent, and feature engineering free. We further extend our model to multi-task and cross-lingual joint training by sharing the architecture and parameters. Our model achieves state-of-the-art results in multiple languages on several benchmark tasks including POS tagging, chunking, and NER. We also demonstrate that multi-task and cross-lingual joint training can improve the performance in various cases.",186회,"Multi-task cross-lingual sequence tagging from scratch
Z Yang, R Salakhutdinov, W Cohen - arXiv preprint arXiv:1603.06270, 2016
186회 인용 관련 학술자료 전체 2개의 버전",,,,
Neural map: Structured memory for deep reinforcement learning,"Emilio Parisotto, Ruslan Salakhutdinov",2017/2/27,arXiv preprint arXiv:1702.08360,,,,,"A critical component to enabling intelligent reasoning in partially observable environments is memory. Despite this importance, Deep Reinforcement Learning (DRL) agents have so far used relatively simple memory architectures, with the main methods to overcome partial observability being either a temporal convolution over the past k frames or an LSTM layer. More recent work (Oh et al., 2016) has went beyond these architectures by using memory networks which can allow more sophisticated addressing schemes over the past k frames. But even these architectures are unsatisfactory due to the reason that they are limited to only remembering information from the last k frames. In this paper, we develop a memory system with an adaptable write operator that is customized to the sorts of 3D environments that DRL agents typically interact with. This architecture, called the Neural Map, uses a spatially structured 2D memory image to learn to store arbitrary information about the environment over long time lags. We demonstrate empirically that the Neural Map surpasses previous DRL memories on a set of challenging 2D and 3D maze environments and show that it is capable of generalizing to environments that were not seen during training.",176회,"Neural map: Structured memory for deep reinforcement learning
E Parisotto, R Salakhutdinov - arXiv preprint arXiv:1702.08360, 2017
176회 인용 관련 학술자료 전체 3개의 버전",,,,
segdeepm: Exploiting segmentation and context in deep neural networks for object detection,"Yukun Zhu, Raquel Urtasun, Ruslan Salakhutdinov, Sanja Fidler",2015,,,,4703-4711,,"In this paper, we propose an approach that exploits object segmentation in order to improve the accuracy of object detection. We frame the problem as inference in a Markov Random Field, in which each detection hypothesis scores object appearance as well as contextual information using Convolutional Neural Networks, and allows the hypothesis to choose and score a segment out of a large pool of accurate object segmentation proposals. This enables the detector to incorporate additional evidence when it is available and thus results in more accurate detections. Our experiments show an improvement of 4.1% in mAP over the R-CNN baseline on PASCAL VOC 2010, and 1.4% over the current state-of-the-art, demonstrating the power of our approach.",168회,"segdeepm: Exploiting segmentation and context in deep neural networks for object detection
Y Zhu, R Urtasun, R Salakhutdinov, S Fidler - Proceedings of the IEEE Conference on Computer …, 2015
168회 인용 관련 학술자료 전체 18개의 버전",Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition,,,
Practical large-scale optimization for max-norm regularization,"Jason Lee, Benjamin Recht, Ruslan R Salakhutdinov, Nathan Srebro, Joel A Tropp",2010,,,23,,Neural Information Processing Systems,"The max-norm was proposed as a convex matrix regularizer in [1] and was shown to be empirically superior to the trace-norm for collaborative filtering problems. Although the max-norm can be computed in polynomial time, there are currently no practical algorithms for solving large-scale optimization problems that incorporate the max-norm. The present work uses a factorization technique of Burer and Monteiro [2] to devise scalable first-order algorithms for convex programs involving the max-norm. These algorithms are applied to solve huge collaborative filtering, graph cut, and clustering problems. Empirically, the new methods outperform mature techniques from all three areas.",166회,"Practical large-scale optimization for max-norm regularization
J Lee, B Recht, RR Salakhutdinov, N Srebro, JA Tropp - 2010
166회 인용 관련 학술자료 전체 23개의 버전",,,,
Transfer learning by borrowing examples for multiclass object detection,Joseph Jaewhan Lim,2012,,,,,,"Despite the recent trend of increasingly large datasets for object detection, there still exist many classes with few training examples. To overcome this lack of training data for certain classes, we propose a novel way of augmenting the training data for each class by borrowing and transforming examples from other classes. Our model learns which training instances from other classes to borrow and how to transform the borrowed examples so that they become more similar to instances from the target class. Our experimental results demonstrate that our new object detector, with borrowed and transformed examples, improves upon the current state-of-the-art detector on the challenging SUN09 object detection dataset.",152회,"Transfer learning by borrowing examples for multiclass object detection
JJ Lim - 2012
152회 인용 관련 학술자료 전체 16개의 버전",,,,Massachusetts Institute of Technology
Stochastic variational deep kernel learning,"Andrew Gordon Wilson, Zhiting Hu, Ruslan Salakhutdinov, Eric P Xing",2016/11/1,arXiv preprint arXiv:1611.00336,,,,,"Deep kernel learning combines the non-parametric flexibility of kernel methods with the inductive biases of deep learning architectures. We propose a novel deep kernel learning model and stochastic variational inference procedure which generalizes deep kernel learning approaches to enable classification, multi-task learning, additive covariance structures, and stochastic gradient training. Specifically, we apply additive base kernels to subsets of output features from deep neural architectures, and jointly learn the parameters of the base kernels and deep network through a Gaussian process marginal likelihood objective. Within this framework, we derive an efficient form of stochastic variational inference which leverages local kernel interpolation, inducing points, and structure exploiting algebra. We show improved performance over stand alone deep networks, SVMs, and state of the art scalable Gaussian processes on several classification benchmarks, including an airline delay dataset containing 6 million training points, CIFAR, and ImageNet.",147회,"Stochastic variational deep kernel learning
AG Wilson, Z Hu, R Salakhutdinov, EP Xing - arXiv preprint arXiv:1611.00336, 2016
147회 인용 관련 학술자료 전체 6개의 버전",,,,
One-shot learning with a hierarchical nonparametric bayesian model,"Ruslan Salakhutdinov, Joshua Tenenbaum, Antonio Torralba",2012/6/27,,,,195-206,JMLR Workshop and Conference Proceedings,"We develop a hierarchical Bayesian model that learns categories from single training examples. The model transfers acquired knowledge from previously learned categories to a novel category, in the form of a prior over category means and variances. The model discovers how to group categories into meaningful super-categories that express different priors for new classes. Given a single example of a novel category, we can efficiently infer which super-category the novel category belongs to, and thereby estimate not only the new categories mean but also an appropriate similarity metric based on parameters inherited from the super-category. On MNIST and MSR Cambridge image datasets the model learns useful representations of novel categories based on just a single training example, and performs significantly better than simpler hierarchical Bayesian approaches. It can also discover new categories in a completely unsupervised fashion, given just one or a few examples.",145회,"One-shot learning with a hierarchical nonparametric bayesian model
R Salakhutdinov, J Tenenbaum, A Torralba - Proceedings of ICML Workshop on Unsupervised and …, 2012
145회 인용 관련 학술자료 전체 25개의 버전",Proceedings of ICML Workshop on Unsupervised and Transfer Learning,,,
On Multiplicative Integration with Recurrent Neural Networks,"Yuhuai Wu, Saizheng Zhang, Ying Zhang, Yoshua Bengio, Ruslan Salakhutdinov",2016/6/21,NIPS 2016,,,,,"We introduce a general and simple structural design called Multiplicative Integration (MI) to improve recurrent neural networks (RNNs). MI changes the way in which information from difference sources flows and is integrated in the computational building block of an RNN, while introducing almost no extra parameters. The new structure can be easily embedded into many popular RNN models, including LSTMs and GRUs. We empirically analyze its learning behaviour and conduct evaluations on several tasks using different RNN models. Our experimental results demonstrate that Multiplicative Integration can provide a substantial performance boost over many of the existing RNN models.",142회,"On multiplicative integration with recurrent neural networks
Y Wu, S Zhang, Y Zhang, Y Bengio, R Salakhutdinov - arXiv preprint arXiv:1606.06630, 2016
142회 인용 관련 학술자료 전체 9개의 버전",,,,
Architectural Complexity Measures of Recurrent Neural Networks,"Saizheng Zhang, Yuhuai Wu, Tong Che, Zhouhan Lin, Roland Memisevic, Ruslan Salakhutdinov, Yoshua Bengio",2016/2/26,NIPS 2016,,,,,"In this paper, we systematically analyze the connecting architectures of recurrent neural networks (RNNs). Our main contribution is twofold: first, we present a rigorous graph-theoretic framework describing the connecting architectures of RNNs in general. Second, we propose three architecture complexity measures of RNNs:(a) the recurrent depth, which captures the RNN's over-time nonlinear complexity,(b) the feedforward depth, which captures the local input-output nonlinearity (similar to the"" depth"" in feedforward neural networks (FNNs)), and (c) the recurrent skip coefficient which captures how rapidly the information propagates over time. We rigorously prove each measure's existence and computability. Our experimental results show that RNNs might benefit from larger recurrent depth and feedforward depth. We further demonstrate that increasing recurrent skip coefficient offers performance boosts on long term dependency problems.",138회,"Architectural complexity measures of recurrent neural networks
S Zhang, Y Wu, T Che, Z Lin, R Memisevic… - arXiv preprint arXiv:1602.08210, 2016
138회 인용 관련 학술자료 전체 8개의 버전",,,,
Improving neural networks by preventing co-adaptation of feature detectors. arXiv 2012,"Geoffrey E Hinton, Nitish Srivastava, Alex Krizhevsky, Ilya Sutskever, Ruslan R Salakhutdinov",,arXiv preprint arXiv:1207.0580,,,,,,133회,"Improving neural networks by preventing co-adaptation of feature detectors. arXiv 2012
GE Hinton, N Srivastava, A Krizhevsky, I Sutskever… - arXiv preprint arXiv:1207.0580
133회 인용 관련 학술자료",,,,
A better way to pretrain deep boltzmann machines,"Ruslan Salakhutdinov, Geoffrey Hinton",2012,,,,2447-2455,,"We describe how the pretraining algorithm for Deep Boltzmann Machines (DBMs) is related to the pretraining algorithm for Deep Belief Networks and we show that under certain conditions, the pretraining procedure improves the variational lower bound of a two-hidden-layer DBM. Based on this analysis, we develop a different method of pretraining DBMs that distributes the modelling work more evenly over the hidden layers. Our results on the MNIST and NORB datasets demonstrate that the new pretraining algorithm allows us to learn better generative models.",132회,"A better way to pretrain deep boltzmann machines
GE Hinton, RR Salakhutdinov - Advances in Neural Information Processing Systems, 2012
132회 인용 관련 학술자료 전체 14개의 버전",Advances in Neural Information Processing Systems,,,
Learning in Markov random fields using tempered transitions,Russ R Salakhutdinov,2009,Advances in neural information processing systems,22,,1598-1606,,"Markov random fields (MRF’s), or undirected graphical models, provide a powerful framework for modeling complex dependencies among random variables. Maximum likelihood learning in MRF’s is hard due to the presence of the global normalizing constant. In this paper we consider a class of stochastic approximation algorithms of the Robbins-Monro type that use Markov chain Monte Carlo to do approximate maximum likelihood learning. We show that using MCMC operators based on tempered transitions enables the stochastic approximation algorithm to better explore highly multimodal distributions, which considerably improves parameter estimates in large, densely-connected MRF’s. Our results on MNIST and NORB datasets demonstrate that we can successfully learn good generative models of high-dimensional, richly structured data that perform well on digit and object recognition tasks.",128회,"Learning in Markov random fields using tempered transitions
RR Salakhutdinov - Advances in neural information processing systems, 2009
128회 인용 관련 학술자료 전체 12개의 버전",,,,
Learning stochastic feedforward neural networks,"Charlie Tang, Russ R Salakhutdinov",2013,,,,530-538,,"Multilayer perceptrons (MLPs) or neural networks are popular models used for nonlinear regression and classification tasks. As regressors, MLPs model the conditional distribution of the predictor variables Y given the input variables X. However, this predictive distribution is assumed to be unimodal (eg Gaussian). For tasks involving structured prediction, the conditional distribution should be multi-modal, resulting in one-to-many mappings. By using stochastic hidden variables rather than deterministic ones, Sigmoid Belief Nets (SBNs) can induce a rich multimodal distribution in the output space. However, previously proposed learning algorithms for SBNs are not efficient and unsuitable for modeling real-valued data. In this paper, we propose a stochastic feedforward network with hidden layers composed of both deterministic and stochastic variables. A new Generalized EM training procedure using importance sampling allows us to efficiently learn complicated conditional distributions. Our model achieves superior performance on synthetic and facial expressions datasets compared to conditional Restricted Boltzmann Machines and Mixture Density Networks. In addition, the latent features of our model improves classification and can learn to generate colorful textures of objects.",127회,"Learning stochastic feedforward neural networks
C Tang, RR Salakhutdinov - Advances in Neural Information Processing Systems, 2013
127회 인용 관련 학술자료 전체 8개의 버전",Advances in Neural Information Processing Systems,,,
Open domain question answering using early fusion of knowledge bases and text,"Haitian Sun, Bhuwan Dhingra, Manzil Zaheer, Kathryn Mazaitis, Ruslan Salakhutdinov, William W Cohen",2018/9/4,arXiv preprint arXiv:1809.00782,,,,,"Open Domain Question Answering (QA) is evolving from complex pipelined systems to end-to-end deep neural networks. Specialized neural models have been developed for extracting answers from either text alone or Knowledge Bases (KBs) alone. In this paper we look at a more practical setting, namely QA over the combination of a KB and entity-linked text, which is appropriate when an incomplete KB is available with a large text corpus. Building on recent advances in graph representation learning we propose a novel model, GRAFT-Net, for extracting answers from a question-specific subgraph containing text and KB entities and relations. We construct a suite of benchmark tasks for this problem, varying the difficulty of questions, the amount of training data, and KB completeness. We show that GRAFT-Net is competitive with the state-of-the-art when tested using either KBs or text alone, and vastly outperforms existing methods in the combined setting. Source code is available at this https URL.",124회,"Open domain question answering using early fusion of knowledge bases and text
H Sun, B Dhingra, M Zaheer, K Mazaitis… - arXiv preprint arXiv:1809.00782, 2018
124회 인용 관련 학술자료 전체 8개의 버전",,,,
Controllable text generation,"Zhiting Hu, Zichao Yang, Xiaodan Liang, Ruslan Salakhutdinov, Eric P Xing",2017/3,arXiv preprint arXiv:1703.00955,4,,,,,124회,"Controllable text generation
Z Hu, Z Yang, X Liang, R Salakhutdinov, EP Xing - arXiv preprint arXiv:1703.00955, 2017
124회 인용 관련 학술자료",,,,
Restricted Boltzmann machines for neuroimaging: an application in identifying intrinsic networks,"R Devon Hjelm, Vince D Calhoun, Ruslan Salakhutdinov, Elena A Allen, Tulay Adali, Sergey M Plis",2014/8/1,NeuroImage,96,,245-260,Academic Press,"Matrix factorization models are the current dominant approach for resolving meaningful data-driven features in neuroimaging data. Among them, independent component analysis (ICA) is arguably the most widely used for identifying functional networks, and its success has led to a number of versatile extensions to group and multimodal data. However there are indications that ICA may have reached a limit in flexibility and representational capacity, as the majority of such extensions are case-driven, custom-made solutions that are still contained within the class of mixture models. In this work, we seek out a principled and naturally extensible approach and consider a probabilistic model known as a restricted Boltzmann machine (RBM). An RBM separates linear factors from functional brain imaging data by fitting a probability distribution model to the data. Importantly, the solution can be used as a building block for …",122회,"Restricted Boltzmann machines for neuroimaging: an application in identifying intrinsic networks
RD Hjelm, VD Calhoun, R Salakhutdinov, EA Allen… - NeuroImage, 2014
122회 인용 관련 학술자료 전체 14개의 버전",,,,
Discovering binary codes for documents by learning deep generative models,"Geoffrey Hinton, Ruslan Salakhutdinov",2011/1,Topics in Cognitive Science,3,1,74-91,Blackwell Publishing Ltd,"We describe a deep generative model in which the lowest layer represents the word‐count vector of a document and the top layer represents a learned binary code for that document. The top two layers of the generative model form an undirected associative memory and the remaining layers form a belief net with directed, top‐down connections. We present efficient learning and inference procedures for this type of generative model and show that it allows more accurate and much faster retrieval than latent semantic analysis. By using our method as a filter for a much slower method called TF‐IDF we achieve higher accuracy than TF‐IDF alone and save several orders of magnitude in retrieval time. By using short binary codes as addresses, we can perform retrieval on very large document sets in a time that is independent of the size of the document set using only one word of memory to describe each document.",119회,"Discovering binary codes for documents by learning deep generative models
G Hinton, R Salakhutdinov - Topics in Cognitive Science, 2011
119회 인용 관련 학술자료 전체 14개의 버전",,,,
A survey on graph kernels,"Nils M Kriege, Fredrik D Johansson, Christopher Morris",2020/12,,5,1,1-42,SpringerOpen,"Graph kernels have become an established and widely-used technique for solving classification tasks on graphs. This survey gives a comprehensive overview of techniques for kernel-based graph classification developed in the past 15 years. We describe and categorize graph kernels based on properties inherent to their design, such as the nature of their extracted graph features, their method of computation and their applicability to problems in practice. In an extensive experimental evaluation, we study the classification accuracy of a large suite of graph kernels on established benchmarks as well as new datasets. We compare the performance of popular kernels with several baseline methods and study the effect of applying a Gaussian RBF kernel to the metric induced by a graph kernel. In doing so, we find that simple baselines become competitive after this transformation on some datasets. Moreover, we study the extent to which existing graph kernels agree in their predictions (and prediction errors) and obtain a data-driven categorization of kernels as result. Finally, based on our experimental results, we derive a practitioner’s guide to kernel-based graph classification.",117회,"A survey on graph kernels
NM Kriege, FD Johansson, C Morris - Applied Network Science, 2020
117회 인용 관련 학술자료 전체 9개의 버전",,,Applied Network Science,
Semi-supervised qa with generative domain-adaptive nets,"Zhilin Yang, Junjie Hu, Ruslan Salakhutdinov, William W Cohen",2017/2/7,arXiv preprint arXiv:1702.02206,,,,,"We study the problem of semi-supervised question answering----utilizing unlabeled text to boost the performance of question answering models. We propose a novel training framework, the Generative Domain-Adaptive Nets. In this framework, we train a generative model to generate questions based on the unlabeled text, and combine model-generated questions with human-generated questions for training question answering models. We develop novel domain adaptation algorithms, based on reinforcement learning, to alleviate the discrepancy between the model-generated data distribution and the human-generated data distribution. Experiments show that our proposed framework obtains substantial improvement from unlabeled text.",116회,"Semi-supervised qa with generative domain-adaptive nets
Z Yang, J Hu, R Salakhutdinov, WW Cohen - arXiv preprint arXiv:1702.02206, 2017
116회 인용 관련 학술자료 전체 9개의 버전",,,,
Adaptive overrelaxed bound optimization methods,"Ruslan Salakhutdinov, Sam Roweis",2003/8/21,,,,664-671,,"We study a class of overrelaxed bound optimization algorithms, and their relationship to standard bound optimizers, such as Expectation-Maximization, Iterative Scaling, CCCP and Non-Negative Matrix Factorization. We provide a theoretical analysis of the convergence properties of these optimizers and identify analytic conditions under which they are expected to outperform the standard versions. Based on this analysis, we propose a novel, simple adaptive overrelaxed scheme for practical optimization and report empirical results on several synthetic and real-world data sets showing that these new adaptive methods exhibit superior performance (in certain cases by several times speedup) compared to their traditional counterparts. Our extensions are simple to implement, apply to a wide variety of algorithms, almost always give a substantial speedup, and do not require any theoretical analysis of the underlying algorithm.",115회,"Adaptive overrelaxed bound optimization methods
R Salakhutdinov, ST Roweis - Proceedings of the 20th International Conference on …, 2003
115회 인용 관련 학술자료 전체 17개의 버전",International Conference on Machine Learning (ICML),,,
Multimodal transformer for unaligned multimodal language sequences,"Yao-Hung Hubert Tsai, Shaojie Bai, Paul Pu Liang, J Zico Kolter, Louis-Philippe Morency, Ruslan Salakhutdinov",2019/7,Proceedings of the conference. Association for Computational Linguistics. Meeting,2019,,6558,NIH Public Access,"Human language is often multimodal, which comprehends a mixture of natural language, facial gestures, and acoustic behaviors. However, two major challenges in modeling such multimodal human language time-series data exist: 1) inherent data non-alignment due to variable sampling rates for the sequences from each modality; and 2) long-range dependencies between elements across modalities. In this paper, we introduce the Multimodal Transformer (MulT) to generically address the above issues in an end-to-end manner without explicitly aligning the data. At the heart of our model is the directional pairwise cross-modal attention, which attends to interactions between multimodal sequences across distinct time steps and latently adapt streams from one modality to another. Comprehensive experiments on both aligned and non-aligned multimodal time-series show that our model outperforms state-of-the-art …",106회,"Multimodal transformer for unaligned multimodal language sequences
YHH Tsai, S Bai, PP Liang, JZ Kolter, LP Morency… - Proceedings of the conference. Association for …, 2019
106회 인용 관련 학술자료 전체 11개의 버전",,,,
