제목,저자,게시 날짜,저널,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,도서,출처,기관,발명자,특허청,출원번호,특허 번호
Semi-Supervised Pairing via Basis-Sharing Wasserstein Matching Auto-Encoder,"Ziyin Liu, Yao-Hung Hubert Tsai, Makoto Yamada, Ruslan Salakhutdinov",,,,,,,"Semi-supervised pairing, learning explicit pairing relation between unlabeled input and target distribution in an otherwise semisupervised setting, has recently attracted lots of attention [16, 12], since data labeling is often time-consuming and requires lots of human labor. In this paper, we propose Basis-Sharing Wasserstein Matching Auto-Encoder to tackle the problem of semi-supervised pairing. Our model inspired by the success of robust representation learning for matching cross-modal latent space distribution [15, 10] and good statistical properties of optimal transport [1, 4]. In particular, Wasserstein distance in the optimal transport family has been shown to work on GANs and autoencoders [2, 14]. We propose to match the latent code distribution of the unlabeled dataset, with the labeled data points as “anchor points”. This should help the network making association between the distributions from two different domains. A similar idea that uses a different method has been shown to work on some language tasks [3]; our work explores a new approach based on distribution matching. Through preliminary experiments, we show that the proposed algorithm can successfully incorporate the unlabeled data for improving the classification accuracy on MNIST and CIFAR10 datasets.",,"Semi-Supervised Pairing via Basis-Sharing Wasserstein Matching Auto-Encoder
Z Liu, YHH Tsai, M Yamada, R Salakhutdinov
관련 학술자료",,,,,,,,
Approximate Empirical Bayes for Deep Neural Networks,"Han Zhao, Yao-Hung Hubert Tsai, Ruslan Salakhutdinov, Geoff Gordon",,,,,,,"We propose an approximate empirical Bayes framework and an efficient algorithm for learning the weight matrix of deep neural networks. Empirically, we show the proposed method works as a regularization approach that helps generalization when training neural networks on small datasets.",,"Approximate Empirical Bayes for Deep Neural Networks
H Zhao, YHH Tsai, R Salakhutdinov, G Gordon
관련 학술자료 전체 3개의 버전",,,,,,,,
Supplementary for Learning Factorized Multimodal Representations,"Yao-Hung Hubert Tsai, Paul Pu Liang, Amir Zadeh, Louis-Philippe Morency, Ruslan Salakhutdinov",,,,,,,"Fig. 1 illustrates how MFM operates on multimodal time series data. The encoder Q (Zy X1∶ M) can be parametrized by any model that performs multimodal fusion [10, 18]. We choose the Memory Fusion Network (MFN)[18] as our encoder Q (Zy X1∶ M). We use encoder LSTM networks and decoder LSTM networks [1] to parametrize functions Q (Za1∶ M X1∶ M) and F1∶ M respectively, and FCNNs to parametrize functions Gy, Ga {1∶ M} and D.",,"Supplementary for Learning Factorized Multimodal Representations
YHH Tsai, PP Liang, A Zadeh, LP Morency…
관련 학술자료",,,,,,,,
Gated-Attention Architectures for Task-Oriented Language Grounding,"Devendra Singh Chaplot Kanthashree Mysore Sathyendra, Rama Kumar Pasumarthi, Dheeraj Rajagopal, Ruslan Salakhutdinov",,,,,,,"To perform tasks specified by natural language instructions, autonomous agents need to extract semantically meaningful representations of language and map it to visual elements and actions in the environment. This problem is called taskoriented language grounding. We propose an end-to-end trainable neural architecture for task-oriented language grounding in 3D environments which assumes no prior linguistic or perceptual knowledge and requires only raw pixels from the environment and the natural language instruction as input. The proposed model combines the image and text representations using a Gated-Attention mechanism and learns a policy to execute the natural language instruction using standard reinforcement and imitation learning methods. We show the effectiveness of the proposed model on unseen instructions as well as unseen maps, both quantitatively and qualitatively. We also introduce a novel environment based on a 3D game engine to simulate the challenges of task-oriented language grounding over a rich set of instructions and environment states.",,"Gated-Attention Architectures for Task-Oriented Language Grounding
DSCKM Sathyendra, RK Pasumarthi, D Rajagopal…
관련 학술자료",,,,,,,,
Supplementary Material for Learning Robust Visual-Semantic Embeddings,"Yao-Hung Hubert Tsai, Liang-Kang Huang, Ruslan Salakhutdinov, I Network Design",,,,,,,"Fig. 1 provides an easy-to-understand design of ReViSE. In all of our experiments, GoogLeNet is pre-trained on ImageNet [2] images. Without fine-tuning, we directly extract the top layer activations (1024-dim) as our input image features followed by a common log (1+ v) pre-processing step. For the textual attributes, we pre-process them through a standard l2 normalization.
In ReViSE, we set α= 1.0 in eq.(11), so that we place equal importance on supervised and unsupervised objectives. For the visual auto-encoder, we fix the parameter of the contraction strength γ= 0.1 in eq.(2). In the following, we omit the bias term in each layer for simplicity. The encoding of visual features is parameterized by a twohidden layer fully-connected neural network with architecture dv1-dv2-dc, where dv1= 1024 is the input dimension of the visual features, dv2= 500 is the intermediate layer, and dc denotes the dimension of the visual codes vh. To encode textual attributes, we consider a single-hidden layer neural network dt1-dc, where dt1 is the input dimension of the textual attributes. We choose dc= 100 when dt1> 100 and dc= 75 when dt1< 100. Furthermore, we do not tie the weights to be learned between the decoding and encoding parts. Parameters for associating distributions of visual and textual codes (MMD Loss) in eqs.(5)(12), and (6) are set as β= 10.1, 1.0 l (chosen by cross-validation) and κ= 32.0. For the remaining part of our model, we set the architecture of visual and textual code mapping as a single-hidden layer fully-connected neural network with dimension dc-50. We also adopt a dropout of 0.7. During the first 100 iterations of training, we set λ= 0 so …",,"Supplementary Material for Learning Robust Visual-Semantic Embeddings
YHH Tsai, LK Huang, R Salakhutdinov, IN Design
관련 학술자료 전체 2개의 버전",,,,,,,,
Image Analysis-Motivation,"Yukun Zhu, Ryan Kiros, Richard Zemel, Ruslan Salakhutdinov, Raquel Urtasun, Antonio Torralba, Sanja Fidler",,,,,,,"0 10 20 30 40 50 60 0 10 20 30 40 50 60 … 0 10 20 30 40 50 60 0 10 20 30 40 50 60 … • http://www.cs.nyu.edu/~yann/talks/lecun-ranzato-icml2013.pdf … • http://www.robots.ox.ac.uk /~vgg/practicals/cnn … • Classification model (x feature vector, (w,b) … • ML estimate of parameters (w,b) is a convex … • Filter: Filter kernal block w of size … ∑u ∑vx(i - u, j - v, l)w(u, v, l) … Input: image x of size mxnxk, typically k=1 (gray … Output: vector y of size 1 x 1 x N, which we interpret … The probability that the image x is of class j … Input: image x of size mxnxk, typically k=1 (gray … Output: vector y of size 1 x 1 x N, which we interpret … The probability that the image x is of class j … • Evaluate one example (x_k,c_k) (like adding another layer) … • Requires going through all examples (all N) … • If N is large and/or if computing y(x_k,w) is time-consuming, use … • Jittering - construct a larger training set by perturbing the",,"Image Analysis-Motivation
Y Zhu, R Kiros, R Zemel, R Salakhutdinov, R Urtasun…
전체 5개의 버전",,,,,,,,
Supplementary Material: Stochastic Variational Deep Kernel Learning,"Andrew Gordon Wilson, Zhiting Hu, Ruslan Salakhutdinov, Eric P Xing",,,,,,,"The second evaluation of our proposed algorithm (SV-DKL) is conducted on a number of commonly used UCI classification tasks of varying sizes and properties. Table 1 lists the classification accuracy of SVM, DNN, DNN+(a stand-alone DNN with an extra Q× c fully-connected hidden layer with Q, c defined as in Figure 1 of the main text, DNN+ GP (a GP trained on the top level features of a trained DNN without the extra hidden layer), and SV-DKL (same architecture as DNN).
The plain DNN, which learns salient features effectively from raw data, gives notably higher accuracy compared to an SVM, the mostly widely used kernel method for classification problems. We see that the extra layer in DNN+ GP can sometimes harm performance. By contrast, non-parametric flexibility of DNN+ GP consistently improves upon DNN. And SV-DKL, by training a DNN through a GP marginal likelihood objective, consistently provides further enhancements (with particularly notable performance on the Connect4 and Covtype datasets).",,"Supplementary Material: Stochastic Variational Deep Kernel Learning
AG Wilson, Z Hu, R Salakhutdinov, EP Xing
관련 학술자료",,,,,,,,
Joint work with Geoff Hinton,Ruslan Salakhutdinov,,,,,,,"Page 1. NON-LINEAR DIMENSIONALITY REDUCTION USING NEURAL NETWORKS Ruslan Salakhutdinov Joint work with Geoff Hinton University of Toronto, Machine Learning Group 1 Page 2. Overview Document Retrieval – Present layer-by-layer pretraining and the fine-tuning of the multi-layer network that discovers binary codes in the top layer. This allows us to significantly speed-up retrieval time. – We also show how we can use our model to allow retrieval in constant time (a time independent of the number of documents). Show how to perform nonlinear embedding by preserving class neighbouthood structure (supervised, semi-supervised). 2 Page 3. Motivation For the document retrieval tasks, we want to retrieve a small set of documents, relevant to the given query. Popular and widely used in practice text retrieval algorithm is based on TF-IDF (term frequency / inverse document frequency) …",,"Joint work with Geoff Hinton
R Salakhutdinov",,,,,,,,
Annealing Between Distributions by Averaging Moments,"Chris J Maddison, Roger Grosse, Ruslan Salakhutdinov",,,,,,,Page 1. Annealing Between Distributions by Averaging Moments Chris J. Maddison Dept. of Comp. Sci. University of Toronto …,,"Annealing Between Distributions by Averaging Moments
CJ Maddison, R Grosse, R Salakhutdinov
전체 3개의 버전",,,,,,,,
用神经网络减少数据维数,"GE Hinton, RR Salakhutdinov",,,,,,,通过训练小中间层（ small central layer） 的多层神经网络（ 神经元个数小于维数）， 可以将高维数据（ high-dimensional data） 转换为低维编码（ low-dimensional codes）， 以此（ 通过此网络） 来重建（ reconstruct） 高维输入向量（ high-dimensional input vectors）. 梯度下降法（ gradient descent） 可以用来在这个 “自编码（ autoencode） 网络” 上微调（ fine-tuning） 权值， 但是这（ 梯度下降） 只在初始权值接近较好方案时有效. 本文介绍（ describe） 了一种有效初始权重方法来作为减少数据维度的工具， 这种方法使得深度自编码网络学习低维编码的效果优于主成分分析（ PCA， principal components analysis）.,,"用神经网络减少数据维数
GE Hinton, RR Salakhutdinov
관련 학술자료",,,,,,,,
Supplementary Material: Deep Kernel Learning,"Andrew Gordon Wilson, Zhiting Hu, Ruslan Salakhutdinov, Eric P Xing",,,,,,,"We test the ability of DKL to recover step functions, a challenging benchmark problem for kernel learning methods due to the underlying smoothness assumptions. We consider a particularly complicated step function with many discontinuities. The training data consists of 60,000 points (shown as black dots in Figure 1) and the test data contains 2,000 points, both uniformly distributed over (− 1, 1). The DKL-SM model uses a DNN with an 1-1000-1000-500-50-2 architecture, which is the same as what used in the UCI regression tasks (section 5.1).
Because of the number of discontinuities in this step function, and the strong smoothness assumptions in the RBF kernel, most of the structure in the data is discounted as noise. The GP with SM kernel performs much better, but is unable to capture the sharpness of the discontinuities. By contrast, the DKL-SM model",,"Supplementary Material: Deep Kernel Learning
AG Wilson, Z Hu, R Salakhutdinov, EP Xing
전체 4개의 버전",,,,,,,,
"Show, Attend and Tell: Neural Image Caption Generation with Visual Attention (Supplementary Material)","Kelvin Xu, UMONTREAL CA, Jimmy Lei Ba, UTORONTO CA, Ryan Kiros, TORONTO EDU, Kyunghyun Cho, Aaron Courville, Ruslan Salakhutdinov, Richard S Zemel, Yoshua Bengio",,,,,,,"Page 1. Show, Attend and Tell: Neural Image Caption Generation with Visual Attention (Supplementary Material) Kelvin Xu KELVIN.XU@UMONTREAL.CA Université de Montréal Jimmy Lei Ba JIMMY@PSI.UTORONTO.CA University of Toronto Ryan Kiros RKIROS@CS.TORONTO. EDU University of Toronto Kyunghyun Cho KYUNGHYUN.CHO@UMONTREAL.CA Université de Montréal Aaron Courville AARON.COURVILLE@UMONTREAL.CA Université de Montréal Ruslan Salakhutdinov RSALAKHU@CS.TORONTO.EDU University of Toronto Richard S. Zemel ZEMEL@CS.TORONTO.EDU University of Toronto Yoshua Bengio YOSHUA.BENGIO@ UMONTREAL.CA Université de Montréal Page 2. Neural Image Caption Generation with Visual Attention 1. Additional Visualizations Visualizations from our “hard” (a) and “soft” (b) attention model. White indicates the regions where the model roughly attends to …",,"Show, Attend and Tell: Neural Image Caption Generation with Visual Attention (Supplementary Material)
K Xu, U CA, JL Ba, U CA, R Kiros, T EDU, K Cho…",,,,,,,,
Supplementary Materials for Learning Stochastic Feedforward Neural Networks,"Yichuan Tang, Ruslan Salakhutdinov",,,,,,,//Approximate E-step: 1 Compute p (h2| x (n))= Bernoulli (σ (W2σ (W1x (n)))) 2 h2 determ← p (h2 determ| x (n)) for m= 1 to M (importance samples) do 3 Sample: h2 stoch∼ p (h2 stoch| x (n)). let h2 be the concatenation of h2 stoch and h2 determ. 4 p (h3| x (n))= Bernoulli (σ (W3h2)) 5 h3 determ← p (h3 determ| x (n)) 6 Sample: h3 stoch∼ p (h3 stoch| x (n)) let h3 be the concatenation of h3 stoch and h3 determ. 7 Compute p (y| x (n))= N (σ (W5σ (W4h3)); σ2 y) end for,,"Supplementary Materials for Learning Stochastic Feedforward Neural Networks
Y Tang, R Salakhutdinov
전체 8개의 버전",,,,,,,,
Supplementary Materials for Tensor Analyzers,"Yichuan Tang, Ruslan Salakhudinov, Geoffrey Hinton",,,,,,,"Posterior inference in TA using alternating Gibbs sampling is efficient. We present trace plots of the 6 random latent factors of two TAs in the figure below. Left panel is from a TA learned on 2D synthetic datasets of Sec. 4, while the right panel is from a TA modeling high dimensional face images under illumination variations. The plots demonstrate that samples mixes very quickly after around 20 Gibbs iterations.",,"Supplementary Materials for Tensor Analyzers
Y Tang, R Salakhudinov, G Hinton
전체 8개의 버전",,,,,,,,
Report from the NSF Workshop on Integrating Approaches to Computational Cognition,"Matt Jones, Richard M Shiffrin, Alan L Yuille, Jun Zhang, Xiaojin Zhu, Thomas L Griffiths, Charles Kemp, Yann LeCun, Hongjing Lu, David A McAllester, Ruslan Salakhutdinov, Bernhard Schölkopf, Satinder Singh, Robin D Thomas",,,,,,,"At a workshop sponsored by the National Science Foundation, 18 distinguished researchers from the fields of Cognitive Science(CS) and Machine Learning(ML) met in Arlington, VA in May 2013 to discuss computational approaches to cognition in human and artificial systems. The purpose of the workshop was to identify frontiers for collaborative research integrating(a) mathematical and computational modeling of human cognition with (b) machine learning and machine intelligence. The researchers discussed opportunities and challenges for how the two fields can advance each other and what sort of joint efforts are likely to be most fruitful.
There are several reasons to believe that theories of human cognition and of machine intelligence are currently in position to greatly benefit from each other. The mathematical and computational tools developed for designing artificial systems are beginning to make an impact on theoretical and empirical work in CS, and conversely CS offers a range of complex problems that challenge and test ML",,"Report from the NSF Workshop on Integrating Approaches to Computational Cognition
M Jones, RM Shiffrin, AL Yuille, J Zhang, X Zhu…
관련 학술자료 전체 4개의 버전",,,,,,,,
Deep Learning & Feature Learning Methods for Vision,"Rob Fergus NYU, Kai Yu, Marc’Aurelio Ranzato, Honglak Lee, Ruslan Salakhutdinov, Graham Taylor",,,,,,,Page 1. Deep Learning & Feature Learning Methods for Vision Rob Fergus (NYU) Kai Yu (Baidu) Marc'Aurelio Ranzato (Google) Honglak Lee (Michigan) Ruslan Salakhutdinov (U. Toronto) Graham Taylor (University of Guelph) CVPR 2012 Tutorial: 9am-5:30pm Page 2. Tutorial Overview 9.00am: Introduction Rob Fergus (NYU) 10.00am: Coffee Break 10.30am: Sparse Coding Kai Yu (Baidu) 11.30am: Neural Networks Marc'Aurelio Ranzato (Google) 12.30pm: Lunch 1.30pm: Restricted Boltzmann Honglak Lee (Michigan) Machines 2.30pm: Deep Boltzmann Ruslan Salakhutdinov (Toronto) Machines 3.00pm: Coffee Break 3.30pm: Transfer Learning Ruslan Salakhutdinov (Toronto) 4.00pm: Motion & Video Graham Taylor (Guelph) 5.00pm: Summary / Q & A All 5.30pm: End Page 3. Overview • Learning Feature Hierarchies for Vision – Mainly for recognition • Many possible titles: – Deep Learning – Feature Learning …,,"Deep Learning & Feature Learning Methods for Vision
RF NYU, K Yu, MA Ranzato, H Lee, R Salakhutdinov…
관련 학술자료 전체 5개의 버전",,,,,,,,
Learning Feature Hierarchies by Learning Deep Generative Models,Ruslan Salakhutdinov,,,,,,,"Many real-world applications are characterized by high-dimensional, highly-structured data with a large supply of unlabeled data and a very limited amount of labeled data. Applications such as information retrieval and machine vision are examples where unlabeled data is readily available. Many models, including logistic regression, Gaussian processes, and Support Vector Machines, are discriminative models by nature, and within the standard regression or classification scenario, unlabeled data is of no use. Given a set of iid labeled input vectors Xl={xn} N n= 1 and their associated target labels {yn} N n= 1∈ R for regression or {yn} N n= 1∈{− 1, 1} for classification, discriminative methods model p (yn| xn) directly. Unless some assumptions are made about the underlying distribution of the input data X=[Xl, Xu], unlabeled data, Xu, cannot be used. Many researchers have tried to use unlabeled data by incorporating a model of P (X). For classification tasks,[11] model P (X) as a mixture∑ yn p (xn| yn) p (yn) and then infer p (yn| xn),[15] attempts to learn a covariance kernel for a Gaussian process based on P (X), and [10] assume that the decision boundaries should occur in regions where the data density, P (X), is low. When faced with high-dimensional, highlystructured data, however, none of the existing approaches have proved to be particularly successful.
To make use of unlabeled data, we propose to first learn a deep generative model, eg a Deep Belief Network (DBN), of P (X) in an entirely unsupervised way using the fast, greedy learning algorithm introduced in [7](for details see [2, 13, 14]). We then use the learned parameters W of the deep …",,"Learning Feature Hierarchies by Learning Deep Generative Models
R Salakhutdinov
관련 학술자료 전체 3개의 버전",,,,,,,,
Learning and Evaluaing Deep Bolztmann Machines,"Ruslan Salakhutdinov, Geoffrey Hinton",,,,,,,"Building intelligent systems that are capable of extracting high-level representations from high-dimensional sensory data lies at the core of solving many AI related tasks, including object recognition, speech perception, and language understanding. Theoretical and biological arguments strongly suggest that building such systems requires deep architectures that involve many layers of nonlinear processing. Hinton et. al.[2] introduced a fast, greedy learning algorithm for Deep Belief Networks that would learn one layer of features at a time. This new learning algorithm has generated substantial interest in academia and many variants of it have been successfully applied in many application domains. However, a crucial disadvantage of these deep probabilistic models is that the approximate inference is very limited, because it is performed in a single bottom-up pass, and will fail to adequately account for uncertainty when interpreting ambiguous sensory inputs.
In this work, we present a new learning algorithms for a different type of hierarchical probabilistic model: a deep Boltzmann machine (DBM). Unlike deep belief networks, a DBM is a type of Markov random field, or undirected graphical model, where all connections between layers are undirected. Deep Boltzmann machines are interesting for several reasons. First, like deep belief networks, DBM’s have the potential of learning internal representations that become increasingly complex, which is considered to be a promising way of solving object and speech recognition problems. High-level representations can be built from a large supply of unlabeled sensory inputs and the very limited labeled …",,"Learning and Evaluaing Deep Bolztmann Machines
R Salakhutdinov, G Hinton
관련 학술자료 전체 2개의 버전",,,,,,,,
Long short-term memory,"Sepp Hochreiter, Jürgen Schmidhuber",1997/11/15,Neural computation,9,8,1735-1780,MIT Press,"Learning to store information over extended time intervals by recurrent backpropagation takes a very long time, mostly because of insufficient, decaying error backflow. We briefly review Hochreiter's (1991) analysis of this problem, then address it by introducing a novel, efficient, gradient based method called long short-term memory (LSTM). Truncating the gradient where this does not do harm, LSTM can learn to bridge minimal time lags in excess of 1000 discrete-time steps by enforcing constant error flow through constant error carousels within special units. Multiplicative gate units learn to open and close access to the constant error flow. LSTM is local in space and time; its computational complexity per time step and weight is O. 1. Our experiments with artificial data involve local, distributed, real-valued, and noisy pattern representations. In comparisons with real-time recurrent learning, back propagation through …",49272회,"Long short-term memory
S Hochreiter, J Schmidhuber - Neural computation, 1997
49032회 인용 관련 학술자료 전체 47개의 버전
Long short-term memory*
J Schmidhuber, S Hochreiter - Neural Comput, 1997
281회 인용 관련 학술자료 전체 3개의 버전
LONG SHORT-TERM MEMOR $ &eural ComputatHon 9 (T): 13c-1T0, 199Sepp Hochreiter Fakult at f ur Informatik Technische jniversit at M unchen*
S Hochreiter
관련 학술자료",,,,,,,,
Fast and accurate deep network learning by exponential linear units (elus),"Djork-Arné Clevert, Thomas Unterthiner, Sepp Hochreiter",2015/11/23,arXiv preprint arXiv:1511.07289,,,,,"We introduce the"" exponential linear unit""(ELU) which speeds up learning in deep neural networks and leads to higher classification accuracies. Like rectified linear units (ReLUs), leaky ReLUs (LReLUs) and parametrized ReLUs (PReLUs), ELUs alleviate the vanishing gradient problem via the identity for positive values. However, ELUs have improved learning characteristics compared to the units with other activation functions. In contrast to ReLUs, ELUs have negative values which allows them to push mean unit activations closer to zero like batch normalization but with lower computational complexity. Mean shifts toward zero speed up learning by bringing the normal gradient closer to the unit natural gradient because of a reduced bias shift effect. While LReLUs and PReLUs have negative values, too, they do not ensure a noise-robust deactivation state. ELUs saturate to a negative value with smaller inputs and thereby decrease the forward propagated variation and information. Therefore, ELUs code the degree of presence of particular phenomena in the input, while they do not quantitatively model the degree of their absence. In experiments, ELUs lead not only to faster learning, but also to significantly better generalization performance than ReLUs and LReLUs on networks with more than 5 layers. On CIFAR-100 ELUs networks significantly outperform ReLU networks with batch normalization while batch normalization does not improve ELU networks. ELU networks are among the top 10 reported CIFAR-10 results and yield the best published result on CIFAR-100, without resorting to multi-view evaluation or model averaging. On ImageNet …",3435회,"Fast and accurate deep network learning by exponential linear units (elus)
DA Clevert, T Unterthiner, S Hochreiter - arXiv preprint arXiv:1511.07289, 2015
3435회 인용 관련 학술자료 전체 11개의 버전",,,,,,,,
Gans trained by a two time-scale update rule converge to a local nash equilibrium,"Martin Heusel, Hubert Ramsauer, Thomas Unterthiner, Bernhard Nessler, Sepp Hochreiter",2017/6/26,arXiv preprint arXiv:1706.08500,,,,,"Generative Adversarial Networks (GANs) excel at creating realistic images with complex models for which maximum likelihood is infeasible. However, the convergence of GAN training has still not been proved. We propose a two time-scale update rule (TTUR) for training GANs with stochastic gradient descent on arbitrary GAN loss functions. TTUR has an individual learning rate for both the discriminator and the generator. Using the theory of stochastic approximation, we prove that the TTUR converges under mild assumptions to a stationary local Nash equilibrium. The convergence carries over to the popular Adam optimization, for which we prove that it follows the dynamics of a heavy ball with friction and thus prefers flat minima in the objective landscape. For the evaluation of the performance of GANs at image generation, we introduce the"" Fréchet Inception Distance""(FID) which captures the similarity of generated images to real ones better than the Inception Score. In experiments, TTUR improves learning for DCGANs and Improved Wasserstein GANs (WGAN-GP) outperforming conventional GAN training on CelebA, CIFAR-10, SVHN, LSUN Bedrooms, and the One Billion Word Benchmark.",2775회,"Gans trained by a two time-scale update rule converge to a local nash equilibrium
M Heusel, H Ramsauer, T Unterthiner, B Nessler… - arXiv preprint arXiv:1706.08500, 2017
2775회 인용 관련 학술자료 전체 8개의 버전
GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium–Supplementary Material*
M Heusel, H Ramsauer, T Unterthiner, B Nessler…
관련 학술자료",,,,,,,,
Gradient flow in recurrent nets: the difficulty of learning long-term dependencies,"Sepp Hochreiter, Yoshua Bengio, Paolo Frasconi, Jürgen Schmidhuber",2001,,1,,,A field guide to dynamical recurrent neural networks. IEEE Press,"Recurrent networks (crossreference Chapter 12) can, in principle, use their feedback connections to store representations of recent input events in the form of activations. The most widely used algorithms for learning what to put in short-term memory, however, take too much time to be feasible or do not work well at all, especially when minimal time lags between inputs and corresponding teacher signals are long. Although theoretically fascinating, they do not provide clear practical advantages over, say, backprop in feedforward networks with limited time windows (see crossreference Chapters 11 and 12). With conventional “algorithms based on the computation of the complete gradient”, such as “Back-Propagation Through Time”(BPTT, eg,[23, 28, 27]) or “Real-Time Recurrent Learning”(RTRL, eg,[22]) error signals “flowing backwards in time” tend to either (1) blow up or (2) vanish: the temporal evolution of the …",1909회,"Gradient flow in recurrent nets: the difficulty of learning long-term dependencies
S Hochreiter, Y Bengio, P Frasconi, J Schmidhuber - 2001
1648회 인용 관련 학술자료 전체 14개의 버전
A field guide to dynamical recurrent networks*
JF Kolen, SC Kremer - 2001
243회 인용 관련 학술자료 전체 2개의 버전
Gradient flow in recurrent nets: the difficulty of learning long-term dependencies.(2001)*
S Hochreiter, Y Bengio, P Frasconi, J Schmidhuber - Cited on, 2001
39회 인용 관련 학술자료
P. Frasconi, and Schmidhuber, J.(2001) Gradient flow in recurrent nets: the difficulty of learning long-term dependencies*
S Hochreiter, Y Bengio
3회 인용 관련 학술자료",,,,,,,,
The vanishing gradient problem during learning recurrent neural nets and problem solutions,Sepp Hochreiter,1998/4/1,INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE BASED SYSTEMS,6,,107-115,WORLD SCIENTIFIC SINGAPORE,"Recurrent nets are in principle capable to store past inputs to produce the currently desired output. Because of this property recurrent nets are used in time series prediction and process control. Practical applications involve temporal dependencies spanning many time steps, e.g. between relevant inputs and desired outputs. In this case, however, gradient based learning methods take too much time. The extremely increased learning time arises because the error vanishes as it gets propagated back. In this article the de-caying error flow is theoretically analyzed. Then methods trying to overcome vanishing gradients are briefly discussed. Finally, experiments comparing conventional algorithms and alternative methods are presented. With advanced methods long time lag problems can be solved in reasonable time.",1571회,"The vanishing gradient problem during learning recurrent neural nets and problem solutions
S Hochreiter - International Journal of Uncertainty, Fuzziness and …, 1998
1571회 인용 관련 학술자료 전체 16개의 버전",,,,,,,,
Self-normalizing neural networks,"Günter Klambauer, Thomas Unterthiner, Andreas Mayr, Sepp Hochreiter",2017/6/8,arXiv preprint arXiv:1706.02515,,,,,"Deep Learning has revolutionized vision via convolutional neural networks (CNNs) and natural language processing via recurrent neural networks (RNNs). However, success stories of Deep Learning with standard feed-forward neural networks (FNNs) are rare. FNNs that perform well are typically shallow and, therefore cannot exploit many levels of abstract representations. We introduce self-normalizing neural networks (SNNs) to enable high-level abstract representations. While batch normalization requires explicit normalization, neuron activations of SNNs automatically converge towards zero mean and unit variance. The activation function of SNNs are"" scaled exponential linear units""(SELUs), which induce self-normalizing properties. Using the Banach fixed-point theorem, we prove that activations close to zero mean and unit variance that are propagated through many network layers will converge towards zero mean and unit variance--even under the presence of noise and perturbations. This convergence property of SNNs allows to (1) train deep networks with many layers,(2) employ strong regularization, and (3) to make learning highly robust. Furthermore, for activations not close to unit variance, we prove an upper and lower bound on the variance, thus, vanishing and exploding gradients are impossible. We compared SNNs on (a) 121 tasks from the UCI machine learning repository, on (b) drug discovery benchmarks, and on (c) astronomy tasks with standard FNNs and other machine learning methods such as random forests and support vector machines. SNNs significantly outperformed all competing FNN methods at 121 UCI tasks …",1473회,"Self-normalizing neural networks
G Klambauer, T Unterthiner, A Mayr, S Hochreiter - arXiv preprint arXiv:1706.02515, 2017
1473회 인용 관련 학술자료 전체 9개의 버전",,,,,,,,
Untersuchungen zu dynamischen neuronalen Netzen,Sepp Hochreiter,1991/6,,,,,,,860회,"Untersuchungen zu dynamischen neuronalen Netzen
S Hochreiter - Diploma, Technische Universität München, 1991
860회 인용 관련 학술자료",,,"Master's thesis, Institut fur Informatik, Technische Universitat, Munchen",,,,,
"A comprehensive assessment of RNA-seq accuracy, reproducibility and information content by the Sequencing Quality Control consortium",SEQC Consortium,2014/9,Nature Biotechnology,32,9,903–914,Springer Nature,"We present primary results from the Sequencing Quality Control (SEQC) project, coordinated by the United States Food and Drug Administration. Examining Illumina HiSeq, Life Technologies SOLiD and Roche 454 platforms at multiple laboratory sites using reference RNA samples with built-in controls, we assess RNA sequencing (RNA-seq) performance for junction discovery and differential expression profiling and compare it to microarray and quantitative PCR (qPCR) data using complementary metrics. At all sequencing depths, we discover unannotated exon-exon junctions, with> 80% validated by qPCR. We find that measurements of relative expression are accurate and reproducible across sites and platforms if specific filters are used. In contrast, RNA-seq and microarrays do not provide accurate absolute measurements, and gene-specific biases are observed, for these and qPCR. Measurement performance …",601회,"A comprehensive assessment of RNA-seq accuracy, reproducibility and information content by the Sequencing Quality Control Consortium
SEQC Consortium - Nature biotechnology, 2014
601회 인용 관련 학술자료 전체 18개의 버전",,,,,,,,
"A comprehensive assessment of RNA-seq accuracy, reproducibility and information content by the Sequencing Quality Control Consortium",SEQC Consortium,2014/9,Nature biotechnology,32,9,903,NIH Public Access,"We present primary results from the Sequencing Quality Control (SEQC) project, coordinated by the United States Food and Drug Administration. Examining Illumina HiSeq, Life Technologies SOLiD and Roche 454 platforms at multiple laboratory sites using reference RNA samples with built-in controls, we assess RNA sequencing (RNA-seq) performance for junction discovery and differential expression profiling and compare it to microarray and quantitative PCR (qPCR) data using complementary metrics. At all sequencing depths, we discover unannotated exon-exon junctions, with> 80% validated by qPCR. We find that measurements of relative expression are accurate and reproducible across sites and platforms if specific filters are used. In contrast, RNA-seq and microarrays do not provide accurate absolute measurements, and gene-specific biases are observed, for these and qPCR. Measurement performance …",601회,"A comprehensive assessment of RNA-seq accuracy, reproducibility and information content by the Sequencing Quality Control Consortium
SEQC Consortium - Nature biotechnology, 2014
601회 인용 관련 학술자료 전체 18개의 버전",,,,,,,,
